,car_id,car_model,used_label,price,exteriorColor,interiorColor,drivetrain,minMPG,maxMPG,fuelType,transmission,engine,mileage,brand
0,1.0,Toyota Sienna SE,1,39,139,11,4,19.0,27.0,3,20,3.5L V6 24V PDI DOHC,29403.0,28
1,2.0,Ford F-150 Lariat,1,49,145,11,3,19.0,24.0,3,2,3.5L V6 24V PDI DOHC Twin Turbo,32929.0,10
2,3.0,RAM 1500 Laramie,1,41,62,11,3,15.0,21.0,3,20,5.7L V8 16V MPFI OHV,23173.0,25
3,4.0,Honda Accord Sport SE,1,28,66,83,4,29.0,35.0,3,28,1.5L I4 16V GDI DOHC Turbo,10598.0,13
4,5.0,Lexus RX 350,1,49,53,10,4,20.0,27.0,3,20,3.5L V6 24V PDI DOHC,28137.0,19
5,6.0,Toyota 4Runner SR5,1,23,11,83,5,17.0,23.0,3,6,4.0L V6 24V MPFI DOHC,105469.0,28
6,7.0,Honda HR-V LX,1,20,104,11,4,28.0,34.0,3,28,1.8L I4 16V MPFI SOHC,10458.0,13
7,8.0,Mercedes-Benz E-Class E 350,1,18,85,68,5,21.0,30.0,3,15,3.5L V6 24V GDI DOHC,58157.0,22
8,9.0,Honda Pilot Touring 8-Passenger,1,44,131,8,2,19.0,26.0,3,24,3.5L V6 24V GDI SOHC,14445.0,13
9,10.0,Dodge Charger Scat Pack,0,46,167,11,5,15.0,24.0,3,20,6.4L V8 16V MPFI OHV,25642.0,8
10,11.0,Lexus RC 350 Base,1,42,76,74,5,19.0,28.0,3,20,3.5L V6 24V PDI DOHC,10236.0,19
11,12.0,Lexus GS 350 Base,1,16,66,11,5,19.0,28.0,3,9,3.5L V6 24V GDI DOHC,48605.0,19
12,13.0,Lexus RX 350 RX 350,1,36,114,44,4,20.0,27.0,3,20,3.5L V6 24V GDI DOHC,47729.0,19
13,14.0,Dodge Charger Scat Pack,0,47,175,11,5,15.0,24.0,3,20,6.4L V8 16V MPFI OHV,31538.0,8
14,15.0,Dodge Charger Scat Pack,1,41,117,11,5,15.0,24.0,3,20,6.4L V8 16V MPFI OHV,18717.0,8
15,16.0,Lexus RC 350 Base,1,41,149,75,5,19.0,28.0,3,20,3.5L V6 24V PDI DOHC,34102.0,19
16,17.0,Ford Explorer XLT,1,32,139,11,3,16.0,22.0,3,9,3.5L V6 24V MPFI DOHC,61294.0,10
17,18.0,Subaru Crosstrek Premium,1,25,32,11,2,28.0,33.0,3,28,2.0L H4 16V GDI DOHC,11508.0,26
18,19.0,Ford Explorer XLT,1,33,139,83,3,16.0,22.0,3,26,Regular Unleaded V-6 3.5 L/213,81375.0,10
19,20.0,Ford Explorer XLT,1,30,142,37,4,17.0,24.0,3,9,2.3L I4 16V GDI DOHC Turbo,28357.0,10
20,21.0,Ford Explorer XLT,1,32,145,37,3,16.0,22.0,3,9,3.5L V6 24V MPFI DOHC,33188.0,10
21,22.0,Acura RDX A-Spec,1,37,93,62,2,21.0,26.0,3,2,2.0L I4 16V GDI DOHC Turbo,5188.0,0
22,23.0,Acura RDX A-Spec,1,38,4,62,2,21.0,26.0,3,2,2.0L I4 16V GDI DOHC Turbo,12878.0,0
23,24.0,Ford Explorer XLT,1,31,88,37,3,16.0,22.0,3,9,3.5L V6 24V MPFI DOHC,47661.0,10
24,25.0,Subaru Forester Sport,1,29,73,44,2,26.0,33.0,3,28,2.5L H4 16V GDI DOHC,10859.0,26
25,26.0,Subaru Crosstrek 2.0i Premium,1,31,172,11,2,27.0,33.0,3,28,2.0L H4 16V GDI DOHC,30849.0,26
26,27.0,Subaru Crosstrek 2.0i Premium,1,24,172,11,2,27.0,33.0,3,28,2.0L H4 16V GDI DOHC,86759.0,26
27,28.0,Subaru Crosstrek 2.0i Premium,1,24,37,11,2,27.0,33.0,3,28,2.0L H4 16V GDI DOHC,61053.0,26
28,29.0,BMW 435 Gran Coupe i xDrive,1,30,173,29,2,20.0,30.0,3,20,3.0L I6 24V GDI DOHC Turbo,65219.0,3
29,30.0,BMW 435 Gran Coupe i xDrive,1,30,66,11,2,20.0,30.0,3,20,3.0L I6 24V GDI DOHC Turbo,63055.0,3
30,31.0,Honda Odyssey EX-L,1,38,104,44,4,19.0,28.0,3,24,3.5L V6 24V GDI SOHC,64571.0,13
31,32.0,Honda Odyssey EX-L,1,28,66,8,4,19.0,28.0,4,8,248.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,56000.0,13
32,33.0,Mercedes-Benz GLC 300 Base,1,43,11,11,5,22.0,29.0,3,24,2.0L I4 16V GDI DOHC Turbo,34768.0,22
33,34.0,Audi Q5 2.0T Premium,1,37,55,11,2,22.0,27.0,3,16,2.0L I4 16V GDI DOHC Turbo,26012.0,2
34,35.0,BMW 428 i,1,27,58,11,5,23.0,34.0,3,20,2.0L I4 16V GDI DOHC Turbo,48531.0,3
35,36.0,Volvo XC60 T5 Momentum,1,40,45,83,2,20.0,27.0,3,20,2.0L I4 16V GDI DOHC Turbo,10969.0,30
36,37.0,Honda Odyssey EX-L,1,38,34,56,4,19.0,28.0,3,24,3.5L V6 24V GDI SOHC,32201.0,13
37,38.0,Lincoln MKZ Standard,1,30,91,35,4,20.0,31.0,3,9,2.0L I4 16V GDI DOHC Turbo,34686.0,20
38,39.0,Subaru Ascent Touring 7-Passenger,1,31,37,48,2,20.0,26.0,3,28,2.4L H4 16V GDI DOHC Turbo,47226.0,26
39,40.0,Land Rover Range Rover Evoque SE Premium,1,34,66,8,3,21.0,29.0,4,33,240.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,39855.0,18
40,41.0,Acura MDX A-Spec,0,58,124,35,2,19.0,25.0,3,2,3.5L V6 24V GDI SOHC,12531.0,0
41,42.0,Honda Pilot EX-L,1,41,150,44,4,20.0,27.0,3,24,3.5L V6 24V GDI SOHC,15118.0,13
42,43.0,Chevrolet Impala Premier 2LZ,1,26,11,83,4,19.0,28.0,3,9,3.6L V6 24V GDI DOHC,49372.0,6
43,44.0,INFINITI G37 x,1,17,66,11,2,18.0,25.0,4,14,328.0HP 3.7L V6 Cylinder Engine Gasoline Fuel,66560.0,15
44,45.0,Honda Civic EX,1,22,104,14,4,31.0,40.0,3,28,1.5L I4 16V GDI DOHC Turbo,35257.0,13
45,46.0,Tesla Model S 75,1,47,147,81,5,0.0,0.0,2,25,382.0HP Electric Motor Electric Fuel System,84000.0,27
46,47.0,Honda Pilot Special Edition,0,43,159,44,2,19.0,26.0,3,26,Regular Unleaded V-6 3.5 L/212,10563.0,13
47,48.0,Jeep Grand Cherokee SRT,1,52,140,71,3,13.0,19.0,3,20,6.4L V8 16V MPFI OHV,49870.0,16
48,49.0,Ford Explorer Limited,1,12,173,8,4,17.0,25.0,3,9,3.5L V6 24V MPFI DOHC,117401.0,10
49,50.0,BMW M240 i,1,33,3,59,5,21.0,32.0,3,18,Straight 6 Cylinder Engine,60733.0,3
50,51.0,Volvo XC60 T5 Inscription,1,41,119,25,4,22.0,29.0,3,20,2.0L I4 16V GDI DOHC Turbo,36577.0,30
51,52.0,Honda Civic EX,1,23,34,11,4,31.0,40.0,3,28,1.5L I4 16V GDI DOHC Turbo,32333.0,13
52,53.0,BMW X1 xDrive28i,1,32,3,11,2,23.0,31.0,3,20,2.0L I4 16V GDI DOHC Turbo,39879.0,3
53,54.0,BMW X1 xDrive28i,1,30,79,11,2,23.0,31.0,3,20,2.0L I4 16V GDI DOHC Turbo,50199.0,3
54,55.0,Acura ILX Premium & A-SPEC Packages,1,23,173,62,4,24.0,34.0,3,21,2.4L I4 16V GDI DOHC,14940.0,0
55,56.0,Chrysler 300 S,1,30,61,11,5,19.0,30.0,3,20,3.6L V6 24V MPFI DOHC,19229.0,7
56,57.0,Land Rover Range Rover Sport 3.0L Supercharged HSE Dynamic,1,53,173,62,3,17.0,23.0,4,19,380.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,55000.0,18
57,58.0,BMW Z4 sDrive30i,1,46,97,47,5,25.0,32.0,3,20,2.0L I4 16V GDI DOHC Turbo,23504.0,3
58,60.0,Land Rover Range Rover,1,51,143,36,3,14.0,19.0,3,20,5.0L V8 32V GDI DOHC Supercharged,54449.0,18
59,61.0,Ford F-150 Lariat,1,18,139,11,3,14.0,19.0,0,9,5.0L V8 32V MPFI DOHC Flexible Fuel,110111.0,10
60,62.0,Mazda CX-5 Grand Touring,1,25,80,11,4,25.0,31.0,3,9,2.5L I4 16V GDI DOHC,66601.0,21
61,63.0,Kia Sportage LX,1,18,12,11,4,23.0,30.0,3,9,2.4L I4 16V GDI DOHC,79336.0,17
62,64.0,Volkswagen Tiguan Sport,1,20,141,26,2,20.0,24.0,3,26,Intercooled Turbo Premium Unleaded I-4 2.0 L/121,87957.0,29
63,65.0,Chrysler 300 S,1,33,62,51,5,19.0,30.0,3,20,5.7L V8 16V MPFI OHV,27054.0,7
64,66.0,Tesla Model X Performance,1,122,173,81,2,80.0,77.0,2,0,Electric Motor Electric Fuel System,29918.0,27
65,67.0,Subaru Impreza 2.0i Premium,1,4,73,11,2,28.0,36.0,3,28,2.0L H4 16V GDI DOHC,67792.0,26
66,68.0,Jeep Cherokee Latitude Plus,1,27,46,11,3,21.0,29.0,3,24,2.4L I4 16V MPFI SOHC,21870.0,16
67,69.0,Jeep Cherokee Latitude Plus,1,21,63,11,4,22.0,31.0,3,22,4 Cylinder Engine,74832.0,16
68,70.0,BMW 320 i xDrive,1,25,16,25,2,23.0,34.0,3,20,2.0L I4 16V GDI DOHC Turbo,55001.0,3
69,71.0,Porsche Cayenne Base,1,44,11,11,2,19.0,24.0,3,20,3.6L V6 24V GDI DOHC,37979.0,24
70,72.0,Nissan Rogue SV,1,19,121,25,2,25.0,32.0,3,28,2.5L I4 16V MPFI DOHC,60122.0,23
71,73.0,Mercedes-Benz E-Class E 350 4MATIC,1,14,11,11,2,21.0,30.0,3,35,V6 Cylinder Engine,92378.0,22
72,74.0,BMW X5 xDrive35i Premium,1,12,11,20,2,16.0,23.0,3,20,3.0L I6 24V GDI DOHC Turbo,75012.0,3
73,75.0,Hyundai Santa Fe SEL 2.4,1,30,134,11,2,21.0,27.0,3,20,2.4L I4 16V GDI DOHC,42185.0,14
74,76.0,Hyundai Santa Fe SEL 2.4,1,28,87,12,2,21.0,27.0,3,20,2.4L I4 16V GDI DOHC,27088.0,14
75,77.0,Mercedes-Benz AMG E 63 S 4MATIC,0,106,67,20,2,15.0,23.0,3,24,4.0L V8 32V GDI DOHC Twin Turbo,15113.0,22
76,78.0,Mercedes-Benz S-Class S 560 4MATIC,1,71,11,20,2,17.0,27.0,3,24,4.0L V8 32V GDI DOHC Twin Turbo,18022.0,22
77,79.0,Hyundai Santa Fe SEL 2.4,1,30,164,38,2,21.0,27.0,3,20,2.4L I4 16V GDI DOHC,26693.0,14
78,80.0,Hyundai Elantra SE,1,17,138,8,4,30.0,40.0,3,28,2.0L I4 16V MPFI DOHC,21368.0,14
79,81.0,BMW X3 M40i,1,49,127,28,2,21.0,27.0,3,20,3.0L I6 24V GDI DOHC Turbo,11970.0,3
80,82.0,Volkswagen Golf R 2.0T w/DCC & Navigation,1,40,75,78,2,23.0,30.0,3,16,2.0L I4 16V GDI DOHC Turbo,32143.0,29
81,83.0,Land Rover Range Rover HSE,1,52,143,35,3,17.0,23.0,3,26,V6,84844.0,18
82,84.0,Mercedes-Benz S-Class S 560 4MATIC,1,62,11,81,2,17.0,27.0,3,24,4.0L V8 32V GDI DOHC Twin Turbo,35652.0,22
83,85.0,BMW 430 Gran Coupe i xDrive,1,26,66,29,2,23.0,33.0,3,20,2.0L I4 16V GDI DOHC Turbo,39474.0,3
