iter	CrossEntropy	Accuracy	Precision	Recall	F1	TotalF1
0	0.6815275118	0.6889264582	0.5914634146	0.243718593	0.3451957295	0.6443405432
1	0.6711692285	0.6931530008	0.6422764228	0.1984924623	0.3032629559	0.6350393085
2	0.6620238304	0.6982248521	0.6880733945	0.1884422111	0.2958579882	0.6356729297
3	0.6483819715	0.7362637363	0.7529411765	0.3216080402	0.4507042254	0.7000526303
4	0.6378614945	0.740490279	0.724137931	0.3693467337	0.4891846922	0.7127256391
5	0.6276302199	0.7387996619	0.6995515695	0.391959799	0.5024154589	0.7150935097
6	0.6179561097	0.740490279	0.690376569	0.4145728643	0.5180533752	0.720034832
7	0.6084465671	0.7480980558	0.6923076923	0.4522613065	0.547112462	0.7318591729
8	0.5968654341	0.7624683009	0.7127272727	0.4924623116	0.5824665676	0.7493907976
9	0.5929811468	0.7633136095	0.7218045113	0.4824120603	0.578313253	0.7489657557
10	0.5868817864	0.753169907	0.7038461538	0.459798995	0.556231003	0.7372579815
11	0.5791240773	0.7548605241	0.7030075188	0.4698492462	0.563253012	0.740000247
12	0.5753947641	0.7599323753	0.7244094488	0.4623115578	0.5644171779	0.7435063611
13	0.5697040837	0.7590870668	0.7269076305	0.4547738693	0.5595054096	0.7417876678
14	0.5643416377	0.764158918	0.7428571429	0.4572864322	0.566096423	0.7465712443
15	0.5572242563	0.7624683009	0.7312252964	0.4648241206	0.5683563748	0.7460565054
16	0.551901629	0.7675401522	0.7450199203	0.4698492462	0.5762711864	0.751164766
17	0.5501578275	0.7683854607	0.7561983471	0.459798995	0.571875	0.7506243762
18	0.5439690781	0.7717666948	0.756	0.4748743719	0.5833333333	0.7555337859
19	0.5414220486	0.7700760778	0.7581967213	0.4648241206	0.5763239875	0.7527687565
20	0.536575625	0.7709213863	0.7529880478	0.4748743719	0.5824345146	0.7547841876
21	0.5335645932	0.7709213863	0.7591836735	0.4673366834	0.5785381026	0.7538380187
22	0.5316437544	0.7692307692	0.7551020408	0.4648241206	0.5754276827	0.7520213251
23	0.5312605256	0.7683854607	0.7561983471	0.459798995	0.571875	0.7506243762
24	0.5283271585	0.7717666948	0.7711864407	0.4572864322	0.5741324921	0.7532812787
25	0.5253432199	0.7717666948	0.768907563	0.459798995	0.5754716981	0.7536122443
26	0.5221430194	0.7726120034	0.7654320988	0.4673366834	0.5803432137	0.7553356774
27	0.520822043	0.7734573119	0.7685950413	0.4673366834	0.58125	0.7560851563
28	0.5183109915	0.7726120034	0.7676348548	0.4648241206	0.579029734	0.7550136153
29	0.5147401945	0.7734573119	0.7642276423	0.472361809	0.5838509317	0.7567208602
30	0.5113106722	0.775147929	0.7682926829	0.4748743719	0.5869565217	0.7585363762
31	0.50716829	0.7768385461	0.7768595041	0.472361809	0.5875	0.7597256763
32	0.5052384582	0.7776838546	0.7800829876	0.472361809	0.5884194053	0.7604779956
33	0.503971869	0.7793744717	0.7866108787	0.472361809	0.590266876	0.7619840103
34	0.5017565858	0.7836010144	0.7983193277	0.4773869347	0.5974842767	0.7663879057
35	0.4992550042	0.7844463229	0.7991631799	0.4798994975	0.5996860283	0.7674556423
36	0.4978114663	0.7836010144	0.7983193277	0.4773869347	0.5974842767	0.7663879057
37	0.495534461	0.7827557058	0.8	0.472361809	0.5939968404	0.7650016983
38	0.4947950805	0.7844463229	0.8042553191	0.4748743719	0.5971563981	0.7668304789
39	0.4930265423	0.7869822485	0.8093220339	0.4798994975	0.6025236593	0.7697291934
40	0.490332279	0.7869822485	0.8067226891	0.4824120603	0.6037735849	0.7700380947
41	0.4896324341	0.7869822485	0.8067226891	0.4824120603	0.6037735849	0.7700380947
42	0.4859734823	0.7937447168	0.8208333333	0.4949748744	0.6175548589	0.7776347645
43	0.4849125916	0.7954353339	0.825	0.4974874372	0.6206896552	0.7794574304
44	0.482144306	0.7920540997	0.8193277311	0.4899497487	0.6132075472	0.7755133781
45	0.4817051509	0.7979712595	0.8382978723	0.4949748744	0.6224328594	0.7814607233
46	0.4792915842	0.7962806424	0.8312236287	0.4949748744	0.6204724409	0.7799287531
47	0.4782839286	0.7962806424	0.8312236287	0.4949748744	0.6204724409	0.7799287531
48	0.4763210755	0.7954353339	0.8305084746	0.4924623116	0.61829653	0.7788669238
49	0.475794502	0.798816568	0.8333333333	0.5025125628	0.6269592476	0.7831027621
50	0.4743569519	0.8005071851	0.8403361345	0.5025125628	0.6289308176	0.7846388506
51	0.4721554774	0.8005071851	0.8403361345	0.5025125628	0.6289308176	0.7846388506
52	0.4717163609	0.8013524937	0.8410041841	0.5050251256	0.6310832025	0.7856944154
53	0.4706736665	0.8021978022	0.8416666667	0.5075376884	0.6332288401	0.7867480939
54	0.4691964352	0.8055790363	0.847107438	0.5150753769	0.640625	0.7906700968
55	0.4672123882	0.8047337278	0.8436213992	0.5150753769	0.639625585	0.7898979237
56	0.4657323881	0.8055790363	0.8414634146	0.5201005025	0.6428571429	0.7912156636
57	0.4654219436	0.8055790363	0.8414634146	0.5201005025	0.6428571429	0.7912156636
58	0.4641293331	0.8055790363	0.8414634146	0.5201005025	0.6428571429	0.7912156636
59	0.4628599962	0.8064243449	0.8448979592	0.5201005025	0.6438569207	0.7919885841
60	0.4611255076	0.8131868132	0.8612244898	0.5301507538	0.6562986003	0.7992553584
61	0.4581857897	0.8106508876	0.848	0.5326633166	0.6543209877	0.7971835854
