iter	Passed	Remaining
0	6	32207
1	9	23074
2	16	27330
3	17	21921
4	20	20452
5	23	19495
6	28	19991
7	30	19051
8	33	18502
9	36	18148
10	38	17632
11	41	17282
12	44	16987
13	49	17513
14	51	17266
15	56	17545
16	58	17215
17	61	17023
18	64	16856
19	69	17187
20	71	17005
21	74	16911
22	77	16740
23	79	16586
24	82	16441
25	85	16338
26	86	15920
27	89	15846
28	91	15755
29	94	15680
30	97	15620
31	100	15606
32	103	15531
33	106	15496
34	108	15432
35	111	15391
36	114	15367
37	117	15294
38	119	15252
39	122	15192
40	125	15152
41	128	15118
42	130	15049
43	133	15017
44	136	14981
45	138	14946
46	141	14896
47	144	14867
48	146	14833
49	149	14782
50	152	14767
51	154	14723
52	157	14677
53	159	14642
54	162	14626
55	165	14626
56	167	14566
57	170	14546
58	173	14508
59	175	14488
60	178	14478
61	180	14399
62	184	14420
63	186	14393
64	188	14346
65	191	14329
66	194	14316
67	197	14328
68	200	14307
69	202	14279
70	205	14297
71	208	14286
72	211	14272
73	214	14250
74	216	14233
75	219	14194
76	221	14173
77	224	14152
78	226	14135
79	229	14119
80	231	14074
81	234	14060
82	237	14049
83	239	14027
84	242	14025
85	245	14006
86	247	13981
87	250	13974
88	253	13990
89	260	14184
90	262	14179
91	264	14102
92	266	14085
93	270	14099
94	272	14083
95	275	14084
96	278	14075
97	281	14079
98	284	14064
