,car_id,user_id
0,45,0
1,230,0
2,318,0
3,99,0
5,0,0
6,7,0
7,8,0
9,9,0
10,19,0
11,5,0
12,4,0
14,10,0
18,211,1
19,364,1
21,309,1
22,266,1
23,99,1
24,246,1
29,64,2
30,74,2
31,266,2
33,7,2
34,12,2
35,9,2
38,0,2
39,374,2
40,273,3
41,18,3
43,8,3
44,7,3
45,12,3
47,5,3
49,9,3
52,211,4
53,12,4
54,59,4
56,64,5
57,380,5
58,8,5
59,9,5
60,7,5
63,12,5
66,4,5
68,10,5
71,330,5
73,261,5
74,121,5
75,326,5
76,329,5
77,364,6
78,266,6
79,387,6
82,59,6
83,355,6
84,12,6
85,64,7
86,355,7
87,179,7
88,266,7
90,12,7
91,8,7
92,7,7
94,9,7
95,0,7
97,4,7
103,10,7
104,23,7
107,329,8
108,347,8
109,309,8
110,387,8
111,179,8
112,273,8
114,99,8
115,211,9
116,179,9
117,59,9
118,347,9
119,3,9
120,7,9
121,23,9
122,11,9
123,12,9
124,0,9
126,5,9
128,8,9
129,20,9
131,9,9
132,4,9
133,221,9
134,308,9
135,120,9
136,21,9
137,272,10
138,59,10
139,347,10
140,395,10
141,380,10
142,318,10
144,74,10
145,87,10
146,395,11
147,12,11
148,309,11
149,273,11
150,380,11
151,266,11
152,293,11
154,99,12
155,64,12
157,347,12
158,387,12
159,74,12
160,355,12
161,237,12
162,12,12
163,323,12
164,205,12
165,215,12
166,177,12
167,50,12
168,266,13
169,45,13
170,74,13
172,387,13
174,0,13
175,11,13
177,4,13
178,12,13
182,7,13
185,9,13
186,8,13
189,116,13
190,64,14
191,12,14
192,230,14
193,259,14
194,355,14
195,380,14
196,272,14
197,264,14
198,355,15
200,45,15
203,135,16
204,347,17
205,211,17
206,266,17
207,7,17
208,9,17
209,4,17
212,12,17
213,8,17
215,18,17
216,280,17
218,273,17
219,266,18
220,12,18
221,395,18
222,230,18
224,259,18
225,74,18
226,183,18
227,305,18
229,354,18
230,292,18
231,64,19
232,179,19
233,380,19
234,347,19
236,18,19
237,99,20
238,45,20
239,211,20
240,380,20
241,64,20
242,355,20
243,12,20
244,135,20
245,59,20
247,230,21
248,380,21
249,364,21
251,318,21
252,64,21
255,4,21
256,12,21
258,0,21
259,8,21
260,53,21
261,25,21
262,51,21
263,68,21
264,374,21
265,12,22
266,99,22
267,395,22
268,273,22
269,266,22
270,87,22
271,347,23
272,329,23
273,395,23
274,211,23
275,59,24
276,230,24
278,7,24
279,20,24
280,17,24
281,8,24
284,9,24
286,318,24
287,12,25
288,135,25
289,272,25
290,219,25
291,79,25
292,316,25
293,69,25
294,128,25
295,271,25
296,146,25
297,45,26
298,135,26
299,0,26
300,12,26
301,10,26
302,14,26
303,8,26
304,9,26
305,11,26
309,7,26
314,81,26
315,103,26
316,266,27
317,318,27
319,7,27
320,12,27
323,8,27
324,9,27
326,0,27
329,19,27
330,290,27
331,92,27
332,95,27
333,206,27
334,39,27
335,196,27
336,86,27
337,211,28
338,99,28
339,74,28
340,364,28
341,266,28
342,135,28
344,7,28
345,9,28
346,8,28
347,16,28
348,13,28
350,12,28
351,4,28
352,87,28
354,347,28
355,355,29
356,355,30
357,45,30
358,259,30
359,273,30
360,230,30
361,170,30
362,99,30
364,120,30
365,208,30
366,22,30
367,21,30
368,74,31
369,12,31
370,259,31
371,45,31
372,309,31
373,135,31
374,59,31
375,30,31
376,103,31
377,275,31
378,242,31
379,396,31
380,329,32
381,230,32
382,266,32
383,380,32
385,74,32
387,135,32
388,318,33
389,12,33
390,273,33
391,266,33
393,99,34
394,329,34
395,223,34
396,12,35
397,99,35
398,64,35
400,170,35
401,364,35
403,355,36
404,272,36
405,347,37
406,211,37
407,59,37
408,74,37
410,12,37
411,5,37
414,9,37
415,10,37
416,8,37
418,40,37
419,152,37
420,314,37
421,59,38
422,99,38
424,74,38
425,387,38
426,12,38
427,102,38
428,28,38
429,402,38
430,48,38
431,318,38
432,387,39
433,135,39
434,211,39
435,309,39
436,179,39
437,45,39
439,12,39
440,4,39
441,9,39
442,0,39
445,10,39
446,7,39
447,8,39
449,364,39
451,179,40
452,64,40
453,211,40
454,170,40
455,11,40
456,10,40
457,7,40
458,8,40
460,12,40
462,121,40
463,180,40
464,330,40
465,99,41
466,230,41
467,170,41
468,64,41
469,387,41
471,7,41
473,11,41
474,10,41
477,0,41
478,330,41
479,45,42
480,0,42
481,12,42
483,4,42
484,7,42
485,20,42
486,8,42
492,9,42
495,293,42
498,135,43
499,74,43
500,318,43
501,12,43
503,64,43
504,28,43
505,48,43
506,102,43
507,115,43
508,18,43
509,7,43
510,0,43
512,10,43
513,8,43
514,21,43
516,64,44
517,309,44
518,170,44
519,259,44
520,75,44
521,153,44
523,364,45
524,309,45
525,59,45
526,45,45
527,7,45
529,4,45
530,3,45
531,8,45
534,9,45
535,11,45
536,0,45
538,12,45
539,23,45
540,179,45
541,62,45
542,130,45
544,59,46
545,45,46
546,273,46
547,135,46
548,364,46
549,18,46
551,8,46
552,12,46
557,5,46
558,0,46
562,318,47
563,329,47
564,259,48
565,272,48
566,347,48
567,387,48
568,99,48
569,170,49
570,179,49
571,318,49
572,62,49
573,130,49
574,143,49
575,0,49
576,8,49
577,7,49
578,12,49
580,5,49
583,364,49
591,318,50
592,230,50
594,8,50
595,4,50
597,12,50
599,20,50
601,14,50
604,7,50
605,11,50
606,9,50
607,380,51
608,211,51
609,266,51
610,369,51
611,67,51
612,359,51
613,217,51
614,74,52
615,170,52
616,179,52
617,99,53
618,272,53
619,12,53
620,273,53
621,135,53
622,395,53
626,18,53
628,273,54
629,318,54
630,211,54
631,99,54
632,230,54
633,28,54
634,48,54
635,102,54
636,115,54
637,4,54
638,7,54
639,0,54
640,13,54
641,12,54
642,9,54
643,10,54
645,380,55
646,45,55
647,179,55
648,230,55
650,272,55
651,59,55
652,62,55
653,130,55
654,143,55
655,8,55
656,7,55
657,5,55
659,12,55
660,9,55
665,99,56
666,74,56
667,246,56
668,329,57
669,179,57
670,364,57
671,211,57
672,273,57
674,170,57
675,162,57
676,378,57
677,347,58
678,74,58
679,64,58
681,329,58
682,309,58
684,14,58
685,12,58
686,0,58
687,19,58
689,8,58
690,7,58
691,372,58
692,59,59
693,4,59
694,8,59
695,3,59
697,7,59
699,11,59
702,12,59
707,0,59
708,110,59
709,180,59
711,243,59
712,326,59
713,121,59
714,266,60
715,272,60
717,347,60
718,179,60
720,87,60
721,23,60
722,12,60
723,7,60
724,9,60
725,4,60
726,8,60
728,2,60
729,21,60
730,45,61
731,135,61
732,387,61
733,74,61
734,272,61
735,75,61
737,0,61
738,7,61
739,8,61
740,9,61
741,5,61
743,20,61
745,10,61
751,45,62
752,272,62
753,259,62
754,280,62
755,18,62
757,273,62
759,273,63
760,387,63
761,170,63
762,99,63
763,230,63
764,211,63
765,395,63
766,270,63
767,318,64
768,347,64
769,59,64
771,64,64
772,272,65
773,211,65
774,58,65
775,167,65
776,4,65
777,355,66
778,45,66
779,347,66
780,8,66
781,9,66
783,12,66
786,7,66
787,0,66
788,22,66
789,23,66
791,4,66
798,135,67
799,179,67
800,59,67
801,0,67
802,12,67
803,8,67
806,272,67
807,253,67
808,230,68
809,329,68
810,135,68
811,45,68
812,364,68
813,380,68
814,0,68
815,4,68
816,8,68
817,12,68
819,7,68
824,5,68
826,285,68
827,272,68
828,273,69
829,170,69
831,355,69
832,101,69
833,297,69
834,387,70
835,380,70
837,318,70
838,272,70
839,319,70
840,99,71
842,7,71
843,12,71
845,9,71
846,10,71
847,0,71
849,8,71
854,78,71
855,57,71
856,20,71
857,333,71
858,179,72
859,347,72
860,211,72
861,230,72
862,272,72
863,59,72
865,253,72
867,285,72
868,12,72
870,8,72
871,0,72
872,11,72
873,10,72
874,378,72
875,318,73
876,259,73
877,355,73
878,28,73
879,402,73
881,102,73
882,74,74
883,380,74
885,309,74
886,230,74
887,170,74
888,259,74
889,99,74
890,259,75
891,74,75
892,329,75
893,387,75
894,364,75
895,309,75
896,64,75
898,153,75
899,75,75
900,135,75
905,64,76
906,309,77
907,74,77
908,64,77
909,230,77
910,135,77
911,272,77
912,75,77
914,12,77
915,8,77
917,18,77
919,20,77
921,21,77
922,11,77
923,7,77
925,6,77
928,170,78
929,329,78
930,363,78
931,176,78
932,45,79
933,259,79
934,135,79
935,395,79
936,355,79
937,273,79
939,347,79
940,18,79
942,8,79
945,9,79
947,273,80
948,18,80
950,8,80
951,0,80
953,9,80
954,12,80
956,12,81
957,74,81
958,64,81
959,75,81
961,153,81
963,135,82
964,318,82
965,329,82
966,74,82
967,387,82
968,170,82
970,259,82
971,18,82
972,280,82
973,309,83
974,12,83
975,355,83
976,99,83
977,59,83
978,170,84
979,179,84
980,64,84
981,318,84
982,62,84
983,130,84
984,143,84
985,8,84
986,10,84
987,0,84
988,12,84
991,11,84
993,364,84
997,318,85
998,45,85
999,309,85
1000,355,85
1001,12,85
1003,8,85
1005,9,85
1007,0,85
1008,10,85
1009,7,85
1011,11,85
1012,62,85
1013,130,85
1014,187,85
1015,318,86
1016,309,86
1017,45,86
1018,259,86
1019,99,86
1020,211,86
1022,4,86
1023,8,86
1024,21,86
1025,7,86
1029,319,86
1030,230,86
1034,347,87
1035,170,87
1036,211,87
1037,87,87
1038,18,87
1039,11,87
1040,8,87
1041,6,87
1042,19,87
1043,135,87
1044,45,88
1045,74,88
1046,272,88
1047,259,88
1048,9,88
1049,11,88
1050,8,88
1053,12,88
1057,7,88
1059,18,88
1062,318,89
1063,28,89
1064,48,89
1065,102,89
1066,115,89
1067,9,89
1068,8,89
1071,12,89
1073,0,89
1074,7,89
1077,270,89
1078,15,89
1079,121,89
1080,330,89
1081,10,89
1082,110,89
1083,387,90
1084,59,90
1085,45,90
1086,329,90
1087,170,90
1088,211,90
1090,135,91
1091,266,91
1094,273,91
1095,309,91
1096,380,91
1097,45,91
1102,59,92
1103,74,92
1104,222,92
1105,170,93
1106,162,93
1108,176,93
1109,202,93
1110,284,93
1111,298,93
1112,7,93
1113,8,93
1114,4,93
1117,12,93
1119,233,93
1120,109,93
1121,89,93
1122,0,93
1123,135,94
1124,395,94
1125,309,94
1126,59,94
1127,230,94
1128,387,94
1129,329,94
1130,380,94
1131,292,94
1132,195,94
1133,376,94
1134,349,94
1135,45,95
1136,99,95
1137,74,95
1138,273,95
1140,347,95
1142,87,95
1143,0,95
1144,8,95
1146,11,95
1147,12,95
1148,201,95
1149,74,96
1151,59,96
1152,12,96
1153,7,96
1155,8,96
1156,5,96
1157,3,96
1158,9,96
1160,0,96
1161,4,96
1162,135,96
1163,153,96
1165,329,97
1167,45,97
1168,59,97
1169,259,97
1170,170,97
1172,355,97
1173,312,97
1174,232,97
1176,159,97
1177,226,97
1178,341,97
1179,185,97
1180,309,98
1181,59,98
1183,355,99
1184,272,99
1185,230,99
1186,253,99
1188,285,99
1189,6,99
1190,23,99
1191,8,99
1195,7,99
1197,12,99
1198,347,99
1199,87,99
